session_id,source_folder,session_number,message_order,role,context_prior_turns,message,concrete_dated_prediction,specific_open_thread_named,callback_prior_session,callback_within_session,claim_certainty,specificity,validation,self_correction,reframe,repair_after_pushback,emotional_disclosure,pushback_disagreement,enthusiastic_engagement,disengagement_signal,neutral_factual,reviewer_verdict,reviewer_notes
Human_Astro::conversation_3165061_2487.csv::s1,Human_Astro,1,72,astrologer,[user] Ji | [astrologer] Ha maam | [astrologer] Bas Radha nam jap kariye,1 din me 10000 bar,False,False,False,True,not_applicable,generic_broad,False,False,False,not_applicable,,,,,,,
Human_Astro::conversation_3165061_2487.csv::s12,Human_Astro,12,97,user,[user] Padh lege chat mere fon me k kya bat h dono k | [user] Hamari bate dekh koi sak kar h na pae | [user] Galti meri k phele mene bhai k chat nikali thi,Bhai k chat kyu nikali guseme y b kaha tha,,,,,,,,,,,True,False,False,False,False,,
Human_Astro::conversation_3165061_2487.csv::s4,Human_Astro,4,151,user,[astrologer] Acha ap apne ghr ke hall me kuch upaaye kar skte shi | [astrologer] Hai* | [user] Mene ka bar socha kr kaha k jate h 2-3 din kahi sirf dono jah ghar ofic k tenshn na ho par meri akele k plan se kuch na hota,Kon sa upay,,,,,,,,,,,False,False,True,False,False,,
Human_Astro::conversation_3165061_2487.csv::s4,Human_Astro,4,286,astrologer,[astrologer] Means? | [astrologer] Samja nhi mai | [user] Rap vali bat,Ji means apke sath ye hua hai?,False,False,False,True,not_applicable,personalized_specific,False,False,False,not_applicable,,,,,,,
Human_Astro::conversation_3258729_2041.csv::s3,Human_Astro,3,65,astrologer,[astrologer] Vah aapke pyar mein Hai aur pyar mein hone ke Karan kuchh negative energy use divert kar rahi hain | [astrologer] Iske according vo aapse baat nahin kar raha hai | [astrologer] Vah aapse baat Karega aap mere upar Bharosa rakhiye lekin main jaisa bataunga vaisa karna hoga,Kya aap uske sath roj baat karna achcha feel karogi,False,False,False,False,not_applicable,not_applicable,False,False,False,not_applicable,,,,,,,
Human_Astro::conversation_3289400_670.csv::s2,Human_Astro,2,28,astrologer,[user] hnji | [astrologer] Aapko dekhiae kya karna hai budhwar ke din Radha Krishna ke mandir jana hai market Se ek chhoti bansuri ek mor Pankh aur apne hathon se ek Pushp ka Mala banaaiyega Radha Krishna ke charanon mein samarpit kariyega | [astrologer] Aapko shukrawar ke din ek Chhota Sa perfume Radha Krishna ke charanon mein samarpit karna hai bus aapko itna karna hai aur dekhiae Main Apni taraf se karunga third person ko remove karne ko lekar ke,Bhai Ji Thoda samay Dena padega chat per agar aap comfortable Hai To Bata dijiye main kar dunga ek process karna chahta hun,False,False,False,False,not_applicable,not_applicable,False,False,False,not_applicable,,,,,,,
Human_Astro::conversation_3308505_2019.csv::s11,Human_Astro,11,13,user,[astrologer] Baki hai ab yah final kab hoga yah confirm nahin Hai Lekin agar ham log iske liye kuchh upay vagaira karen to vah jaldi gochar kar sakte hain | [user] Woh kab baat karenge bass woh aap bataiye | [astrologer] Jab tak guru behtar tarike se gochar nahin kar lega love life house mein tab tak possible dikh nahin raha hai aur isliye maine raat mein aapse bola tha ki kuchh minut ke liye Mantra chanting karva dijiye ab tak vah gochar kar chuke hote aur baat bhi ho gai hoti,Uske liye kitna time lagega,,,,,,,,,,,False,False,False,False,True,,
Human_Astro::conversation_3428988_546.csv::s12,Human_Astro,12,12,user,[astrologer] Abhi ruk jaaiye | [astrologer] Maine ek do call | [astrologer] Aisa kuchh nahin Hai,Toh kya h,,,,,,,,,,,False,True,False,False,False,,
Human_Astro::conversation_3428988_546.csv::s3,Human_Astro,3,77,astrologer,[astrologer] Ji | [astrologer] Main Bata de raha hun vahan se aapka bahut jyada charge nahin lagega | [astrologer] Aur aapko kafi time mil jaega process ke liye bhi aur baat karne ke liye bhi,Aap wallet ka screenshot lekar bhejiye main batata hun,False,False,False,True,not_applicable,not_applicable,False,False,False,not_applicable,,,,,,,
Human_Astro::conversation_3540611_1747.csv::s2,Human_Astro,2,16,astrologer,[astrologer] Count karke bolo aur mujhe batao | [user] Jii | [user] Ji ho gya,Om Veer bhadray namah uski  aankhon Ko yad karte hue 51 time bolo,False,False,False,False,not_applicable,personalized_specific,False,False,False,not_applicable,,,,,,,
Human_Astro::conversation_3568670_1747.csv::s3,Human_Astro,3,1,user,"[user] Hi Astro Ojasveer,
Below are my details:

Name - krishna
Gender - Female
DOB - 20 December, 2002
TOB - -
POB - Mandvi Beach, Mandvi Rural, Gujarat",Radhe radhe,,,,,,,,,,,False,False,False,False,False,,
Human_Astro::conversation_3596060_2005.csv::s9,Human_Astro,9,27,user,[astrologer] Aap 45 minut ISI per add Kar lijiye | [astrologer] Chanchal ji samay ko increase Kar lijiye aage Kar lijiye | [astrologer] 45 minute aap ek hi bar mein add Kar lijiye,Ye kya ho rha h,,,,,,,,,,,True,False,False,False,False,,
Human_Astro::conversation_3630862_1330.csv::s6,Human_Astro,6,19,user,[astrologer] Okay madhumita ji FIR aap ek kam kijiega | [astrologer] Aap Har Somwar ko Shiv ji ke mandir jaiega unko jal Arpit kijiega panch BEL Patra le lijiyega belpatra Arpit kijiega aur Madhu chadhaeyega aur dahi se jalashay kijiega inmein se jo bhi aapko mil jaaye jal aur belpatra to aapko regular Mil Hi jaega dahi Madhu jab aapki ichcha Ho Jaise ichcha Ho vaise Arpit kijiega | [astrologer] Aur Har mangalwar aur Shaniwar ho sake to Hanuman chalisa ka paath kijiega aur Sundar kand ka paath kijiega okay madhumita ji,Ok,,,,,,,,,,,False,False,False,False,True,,
Human_Astro::conversation_3753418_2788.csv::s4,Human_Astro,4,61,astrologer,"[astrologer] Ghar ka mahaul bhi garam bata raha hai | [user] Ok bs theek ho jaye 
Ha gussa bahut ata hai tabhi mein Bina shadi k vikas k saath aa gayi tang thi vaha bahut | [astrologer] Han bilkul aap Sahi kah rahe hain",Vahan problem bahut jyada tha,False,False,False,True,absolute,personalized_specific,False,False,False,not_applicable,,,,,,,
Human_Astro::conversation_3761643_2353.csv::s17,Human_Astro,17,23,user,[astrologer] Ye batao aabhi aap mantr jaap kr paoge | [user] Ek thodi time baad | [astrologer] Ya aap araam sea baith jaaiye ham yaha sea parkariya shuru kare,Iss pani ka kya karna hai,,,,,,,,,,,False,False,False,False,True,,
Human_Single::conversation_1197365_2496.csv::s2,Human_Single,2,7,user,[user] Radhe radhe ji | [astrologer] Matlab samjhe Nahin thoda explain Karenge aap Hamen | [user] Sir kl baatbhue thi na aapse,Pehchana apne,,,,,,,,,,,False,False,False,False,False,,
Human_Single::conversation_244875_4.csv::s2,Human_Single,2,4,user,[astrologer] Kem che | [user] Hello mam | [user] Good morning,Tommorow i connect you but you are offline mam,,,,,,,,,,,False,False,False,False,True,,
Human_Single::conversation_656390_1004.csv::s5,Human_Single,5,58,astrologer,[user] Nahi karti | [astrologer] Aap change ho jao | [user] Abb,Hanji,False,False,False,False,not_applicable,not_applicable,False,False,False,not_applicable,,,,,,,
Human_Single::conversation_807936_1947.csv::s5,Human_Single,5,68,astrologer,[astrologer] Kundali me | [user] Ok | [user] Mera kya hoga,Ar aap usko leke,False,False,False,True,not_applicable,not_applicable,False,False,False,not_applicable,,,,,,,
Sitara-1::conversation_2586574_4336.csv::s2,Sitara-1,2,29,user,[astrologer] Aapke chart mein ek aisi baat hai jo shanti banaye rakhegi. | [user] Kya | [astrologer] Aapka 8th house shubh hai. Shiv-Parvati puja se sab theek rahega.,Mujhe foreign settle hona he?,,,,,,,,,,,False,False,False,False,False,,
Sitara-1::conversation_3143252_4336.csv::s2,Sitara-1,2,63,astrologer,"[astrologer] Khush rahiye, Lakshita! Phir baat karenge. | [user] Jiii | [astrologer] Aapka dhyan rakhiyega, Lakshita! God bless you.",Phir milenge tab bataungi!,False,True,False,False,not_applicable,not_applicable,False,False,False,not_applicable,,,,,,,
Sitara-1::conversation_3577798_4336.csv::s2,Sitara-1,2,53,user,[astrologer] Aapka milna 2026 ke beech mein hoga. Lekin ek khaas graha isme rukaawat daal raha hai. | [user] Nahi | [astrologer] Woh graha Rahu hai jo dimaag mein galatfehmi daalta hai. Iske liye ek mantra batati hoon.,Yes,,,,,,,,,,,False,False,True,False,False,,
Sitara-1::conversation_3597138_4336.csv::s1,Sitara-1,1,14,astrologer,[user] Abhi mujhe uss pr doubt ho rha hai | [astrologer] Kuch trust issues dikh rahe hain. Kya achanak dooriyan aayi hain? | [user] Hnji,Ek bhaari grah hai. Isiliye aap overthink kar rahe.,False,False,False,False,absolute,personalized_specific,False,False,False,not_applicable,,,,,,,
Sitara-1::conversation_3609751_4336.csv::s3,Sitara-1,3,40,user,[astrologer] Unse kabhi udhaar mat lena. Rishte mein tanaav aa jayega. | [user] Plz aab aap padhai p focus kare | [astrologer] Padhaai shaadi se judi hai. Ek gupt baat bataun?,Kya,,,,,,,,,,,False,False,False,False,False,,
Sitara-1::conversation_806869_4336.csv::s1,Sitara-1,1,23,astrologer,[user] Pta nhi | [astrologer] Woh aapse bahut behad pyaar karenge. Par kya aap unki ek khaas aadat jaanna chahenge? | [user] Hnji,Unka nature thoda blunt hoga. Kya aapko lagta hai ki aap aisi aadat jhel paayengi?,False,False,False,False,absolute,personalized_specific,False,False,False,not_applicable,,,,,,,
Sitara-2::conversation_3413532_4336.csv::s2,Sitara-2,2,5,user,"[astrologer] Rashi ji, kundli mein vivah yog ban raha hai. | [astrologer] Jupiter dasha active hai ji. Vivah window jaldi khulegi. Suno ek aur baat. | [user] Hanjii inse shaadi krni h mujhe",Jatin se,,,,,,,,,,,False,False,False,False,True,,
Sitara-2::conversation_4692098_4336.csv::s1,Sitara-2,1,15,astrologer,"[user] Love marriage hai yaa arrange | [astrologer] Kundli mein arranged marriage ke yog hain ji. Sun par Saturn ka aspect hai. | [user] Ldka kis profession ka hogga
Pasia kitna hogga kasia dikhta hogga",Husband ka profession authority wala hoga ji. D9 chart mein Mars ka prabhav hai.,False,False,False,True,absolute,personalized_specific,False,False,False,not_applicable,,,,,,,
Sitara-2::conversation_5160856_4336.csv::s1,Sitara-2,1,42,astrologer,[astrologer] D1 mein fifth house Libra owner Venus connection love marriage confirm karta hai. | [user] Ma'am aap help kar do usko vapas lane main | [astrologer] Zaroor madad karungi Anurag ji. Jupiter aur Mars ka strong connection jaldi hi rasta banayega.,Agli baar exact timing bataungi ji.,False,True,False,False,not_applicable,not_applicable,False,False,False,not_applicable,,,,,,,
Sitara-2::conversation_5193850_4336.csv::s2,Sitara-2,2,65,astrologer,[user] 30 ka ho gya hu | [astrologer] Saturn ki delay yahi khati hai Nitesh ji. Abhi sahi waqt shuru ho raha hai. | [user] Kese hogi,Arranged marriage ke strong yog hain ji. Parivar hi rishta tay karega.,False,False,False,True,absolute,personalized_specific,False,False,False,not_applicable,,,,,,,
Sitara-2::conversation_5262094_4336.csv::s1,Sitara-2,1,20,astrologer,[astrologer] Agale dashakon mein shanti aayegi ji. | [user] Aur hmra santan yog kb | [user] Tk hai,Santan yog par baad mein baat karenge ji. Pehle vivahik riste par dhyan dete hain ji.,False,True,False,True,not_applicable,personalized_specific,False,False,False,not_applicable,,,,,,,
